permit_number,lease_name,operator_name,operator_number,county_code,county_name,district,issue_date,received_date,amended_date,extended_date,spud_date,well_number,well_status,total_depth,application_type,app_type_desc,horizontal_flag,directional_flag,sidetrack_flag,surface_section,surface_block,surface_survey,surface_abstract,gis_surface_lat,gis_surface_lon,gis_bottomhole_lat,gis_bottomhole_lon,field_count,field_numbers,lease_count,survey_count,restriction_count,remark_count,address
2078785,SLO-POKE 149 HG,APACHE CORPORATION,02720,047,Brooks,1,,,,,,0H302W,0,1136,00,,,N,N,149,34,H&TC RR CO,252,31.5039861,-103.2838556,31.5143690,-103.2746820,1,37105290,1,1,2,25,
2089173,ALTITO B 46A,VERDUN OIL EF II LLC,10288,028,,0,,,,,,1   1H,0,975,60,,,N,N,4,1,I&GN RR CO,388,28.4028306,-99.0825000,28.4320722,-99.0934194,1,32713570,1,1,2,12,
2089614,CONDOR,APACHE CORPORATION,02720,030,,1,,,,,,0 435C,0,1600,00,,,N,N,11,2,W&NW RR CO,205,31.7445194,-103.6348722,31.7230083,-103.6503861,1,37105290,1,1,2,16,
2089633,NEFF EAST H 9-45,DIAMONDBACK E&P LLC,21701,046,,0,,,,,,94213H,0,926,20,,,N,N,16,40 T5S,"T&P RR CO / WINDHAM, J",1508,31.5907304,-102.0801664,31.6333057,-102.0936793,1,38527920,1,1,1,16,
2089634,NEFF EAST G 9-45,DIAMONDBACK E&P LLC,21701,046,,0,,,,,,92615H,0,854,20,,,N,N,16,40 T5S,"T&P RR CO / WINDHAM, J",1508,31.5913423,-102.0777011,31.6336861,-102.0922106,1,38527920,1,1,1,16,
2089710,REV CON T8-50-7 UNIT,CHEVRON U. S. A. INC.,14811,038,,1,,,,,,00045W,0,1080,30,,,N,N,17,50 T8S,T&P RR CO,718,31.1470466,-103.3533177,31.1278200,-103.3642413,2,39835980; 39835980,2,2,4,37,
2089811,HAWKEN F,"OXYROCK OPERATING, LLC",10232,017,Bailey,1,,,,,,0  12H,2,900,40,,,N,N,48,36 T3S,"T&P RR CO / GIRDWOOD, N",988,31.8474230,-101.6831500,31.8711379,-101.6891493,1,38528030,1,1,1,12,
2090109,TXL 33 UNIT 2,XTO ENERGY INC.,94593,032,,1,,,,,,04075J,0,1050,60,,,N,N,21,39 T4S,T&P RR CO,228,31.7010585,-102.0117043,31.6565551,-101.9987590,1,38528030,1,1,1,12,
2090116,SCOTT-STATE-AFTERBUZZ D,"CIVITAS PERMIAN OPERATING, LLC",10157,030,,1,,,,,,0 123H,3,1200,70,,,N,N,19,C24,"PSL / BRUNSON, G S",1000,31.9370349,-103.3596760,31.9134941,-103.3464886,2,38054450; 38054450,2,2,4,50,
2090233,FULL HOUSE EAST O 13-7,"DE CENTRAL OPERATING, LLC",10287,038,,0,,,,,,94415H,0,1060,90,,,N,N,13,,GC&SF RR CO,175,31.3664678,-101.5194944,31.4022810,-101.5216724,1,38527920,1,1,1,12,
2090234,FULL HOUSE EAST O 13-7,"DE CENTRAL OPERATING, LLC",10287,038,,0,,,,,,94215H,0,1060,90,,,N,N,13,,GC&SF RR CO,175,31.3664678,-101.5194304,31.4025120,-101.5216734,1,38527920,1,1,1,12,
2090448,SUSAN CR KIRA E,SM ENERGY COMPANY,78899,046,,0,,,,,,94643L,3,1050,70,,,N,N,27,42 T4S,T&P RR CO,511,31.6213935,-102.2868582,31.5757820,-102.2751890,1,38527920,1,1,1,12,
2090449,SUSAN CR KIRA G,SM ENERGY COMPANY,78899,046,,0,,,,,,94645L,0,1050,70,,,N,N,27,42 T4S,T&P RR CO,511,31.6214642,-102.2865448,31.5766815,-102.2712897,2,38527920; 38527920,2,2,2,24,
2090450,SUSAN CR KIRA H,SM ENERGY COMPANY,78899,046,,0,,,,,,94656D,8,1055,70,,,N,N,27,42 T4S,T&P RR CO,511,31.6214965,-102.2863897,31.5771344,-102.2693044,2,38527920; 38527920,2,2,2,24,
2090469,YODA B 39-34,"SURGE OPERATING, LLC",76072,022,,1,,,,,,0   2A,4,800,50,,,N,N,39,33 T1S,T&P RR CO,377,32.1340080,-101.5009530,32.1609689,-101.5085070,1,38528030,1,1,2,12,
2090504,WATERLOGGED,"NILE MIDSTREAM, LLC",61095,010,,1,,,,,,0  23S,7,799,60,,,N,N,23,B21,"PSL/WADDELL, W N & CO",1205,31.4922358,-102.6795251,31.4922358,-102.6795251,1,37893680,1,0,2,0,
