permit_number,lease_name,operator_name,operator_number,county_code,county_name,district,issue_date,received_date,amended_date,extended_date,spud_date,well_number,well_status,total_depth,application_type,app_type_desc,horizontal_flag,directional_flag,sidetrack_flag,surface_section,surface_block,surface_survey,surface_abstract,gis_surface_lat,gis_surface_lon,gis_bottomhole_lat,gis_bottomhole_lon,field_count,field_numbers,lease_count,survey_count,restriction_count,remark_count,address
20723650,7POGUE UNIT A BE G,8BURLINGTON RESOURCES O & G CO LP,2109333,8297,,02,,,,,,2   1,0,12600,301,,Y,NN,NN,122,,"JACOBS, W",266,28.6866748,498.0850710,628.6999357,598.0946646,1,386950600,1,1,3,13,
20820924,1UL 19 STONEFLY D,9PDEH LLC,0646827,8301,,10,,,,,,01506H,0W,12000,701,,Y,NN,NN,8       1,19,UL,U8,931.6946472,4103.4250389,431.6649615,5103.4178244,1,371052900,1,1,3,28,
20840473,7POGUE UNIT A CD,8BURLINGTON RESOURCES O & G CO LP,2109333,8297,,02,,,,,,2   7,0,17000,301,,Y,NN,NN,31,,"HULZAR, J F",221,28.6871384,498.0980270,728.7103655,598.1100657,1,386950600,1,1,2,12,
20840547,7POGUE UNIT A CDE,8BURLINGTON RESOURCES O & G CO LP,2109333,8297,,02,,,,,,2   8,0,17000,301,,Y,NN,NN,31,,"HULZAR, J F",221,28.6871371,498.0978430,328.7103982,598.1079783,1,386950600,1,1,2,12,
20840554,7POGUE UNIT A CD G,5BURLINGTON RESOURCES O & G CO LP,2109333,8297,,02,,,,,,2   9,0,17000,301,,Y,NN,NN,31,,"HULZAR, J F",221,728.6871380,498.0979677,328.7104102,598.1089453,1,386950600,1,1,2,12,
20860110,7DYER-KILGORE H 25-34,"4PIONEER NATURAL RES. USA, INC.",0665748,7317,,10,,,,,,04308H,0W,9500,801,,Y,NN,NN,25      3,35 T3N,T&P RR CO,96,432.4722362,4101.7948774,932.4442898,5101.7892539,1,385280300,1,1,1,12,
20894150,1PEGASUS SPRABERRY UNIT,1COG OPERATING LLC,9166150,8461,,09,,,,,,9 106MH,2,8171,001,,Y,NN,NN,1       4,41 T5S,T&P RR CO,486,331.5945508,4102.1345373,431.6210967,5102.1449834,1,370279100,1,1,1,16,
20894151,1PEGASUS SPRABERRY UNIT,1COG OPERATING LLC,9166150,8461,,09,,,,,,9 107MH,8,12000,001,,Y,NN,NN,1       4,41 T5S,T&P RR CO,486,631.5946867,4102.1344486,731.6216449,5102.1427317,1,370279100,1,1,1,16,
20894152,1PEGASUS SPRABERRY UNIT,3COG OPERATING LLC,9166150,8461,,09,,,,,,9 108MH,7,8161,001,,Y,NN,NN,1       4,41 T5S,T&P RR CO,486,131.5947169,4102.1343251,931.6221754,5102.1404749,1,370279100,1,1,1,16,
20894153,1PEGASUS SPRABERRY UNIT,3COG OPERATING LLC,9166150,8461,,09,,,,,,9 601MH,1,8175,001,,Y,NN,NN,7       4,40 T5S,T&P RR CO,455,531.5942877,4102.1264755,231.6229117,5102.1374362,1,370279100,1,1,1,16,
20894154,1PEGASUS SPRABERRY UNIT,3COG OPERATING LLC,9166150,8461,,09,,,,,,9 602MH,8,8164,001,,Y,NN,NN,7       4,40 T5S,T&P RR CO,455,831.5942121,4102.1263168,331.6234998,5102.1350243,1,370279100,1,1,1,16,
20894175,1PEGASUS SPRABERRY UNIT,3COG OPERATING LLC,9166150,8461,,09,,,,,,9 603MH,1,8160,001,,Y,NN,NN,7       4,40 T5S,T&P RR CO,455,531.5953229,4102.1222315,431.6240876,5102.1326724,1,370279100,1,1,1,16,
20894176,1PEGASUS SPRABERRY UNIT,1COG OPERATING LLC,9166150,8461,,09,,,,,,9 604MH,2,8178,001,,Y,NN,NN,7       4,40 T5S,T&P RR CO,455,431.5953831,4102.1219844,331.6246844,5102.1302363,1,370279100,1,1,1,16,
20894178,1PEGASUS SPRABERRY UNIT,3COG OPERATING LLC,9166150,8461,,09,,,,,,9 606MH,1,8166,001,,Y,NN,NN,7       4,40 T5S,T&P RR CO,455,331.5965996,4102.1169963,131.6252917,5102.1278511,1,370279100,1,1,1,16,
20894179,1PEGASUS SPRABERRY UNIT,3COG OPERATING LLC,9166150,8461,,09,,,,,,9 607MH,1,8191,001,,Y,NN,NN,7       4,40 T5S,T&P RR CO,455,231.5966599,4102.1167492,231.6258037,5102.1255742,1,370279100,1,1,1,16,
20894395,7KATHLEEN-FLANAGAN 10B,"9PIONEER NATURAL RES. USA, INC.",0665748,7317,,10,,,,,,0 102H,0,9340,801,,Y,NN,NN,10      3,37 T1S,"T&P RR CO / DAY, J S",645,32.1142270,4101.9186620,32.0649060,5101.9044210,1,385280300,1,1,1,12,
20897104,9REV CON STATE T8-50-17,5CHEVRON U. S. A. INC.,0148113,8389,,10,,,,,,00041WA,0,10800,301,,Y,NN,NN,17      5,50 T8S,T&P RR CO,718,731.1470406,4103.3535727,731.1257290,5103.3858757,1,398359800,1,1,2,12,
20897106,9REV CON STATE T8-50-17,5CHEVRON U. S. A. INC.,0148113,8389,,10,,,,,,00043WA,0,10800,301,,Y,NN,NN,17      5,50 T8S,T&P RR CO,718,731.1470436,4103.3534457,731.1169347,5103.3862387,1,398359800,1,1,2,12,
20897107,9REV CON STATE T8-50-17,5CHEVRON U. S. A. INC.,0148113,8389,,10,,,,,,00044WA,0,10800,301,,Y,NN,NN,17      5,50 T8S,T&P RR CO,718,731.1470446,4103.3533817,331.1285009,5103.3684113,1,398359800,1,1,2,25,
20900507,9WILEY POST STATE UNIT,"8UPCURVE ENERGY, LLC",0878506,8389,,10,,,,,,0   4H,2,11500,601,,Y,NN,NN,4       C,C9,"PSL/BRANCH, O J",5464,931.3179064,4103.5685719,231.3196882,5103.6010552,1,371052900,1,1,2,25,
20902358,9SHACKELFORD 29-17K,"9PIONEER NATURAL RES. USA, INC.",0665748,8329,,10,,,,,,0  11H,0,10464,801,,Y,NN,NN,40      3,38 T3S,"T&P RR CO / GOOD, E C",914,31.8029964,4101.8854940,731.8378322,5101.8978127,1,385280300,1,1,1,12,
20906587,9MATRIX CASPIAN B,"7ESCONDIDO RESOURCES OPER CO, LLC",4254231,8479,,04,,,,,,4 107H,0,12000,101,,Y,NN,NN,1389,,BS&F,408,327.9043520,499.4493053,927.9305869,599.4586179,1,339744250,1,1,2,24,
20909183,3ELK POWELL 0893OP,9OXY USA INC.,0630591,7173,,10,,,,,,0   1H,1,12000,101,,Y,NN,NN,8       3,35 T3S,"T&P RR CO / BRUNSON, D W",930,631.9341222,4101.6802556,131.8992500,5101.6675111,1,328899040,1,1,1,15,
20909709,5SWAPS 146-37 A,"7MANTI TARKA PERMIAN OP, LLC",0524907,8475,,10,,,,,,0   1HA,0,11500,701,,Y,NN,NN,145     3,34,H&TC RR CO,250,31.5155750,4103.2533040,31.5333390,5103.2388730,1,371052900,1,1,2,31,
