permit_number,lease_name,operator_name,operator_number,county_code,county_name,district,issue_date,received_date,amended_date,extended_date,spud_date,well_number,well_status,total_depth,application_type,app_type_desc,horizontal_flag,directional_flag,sidetrack_flag,surface_section,surface_block,surface_survey,surface_abstract,gis_surface_lat,gis_surface_lon,gis_bottomhole_lat,gis_bottomhole_lon,field_count,field_numbers,lease_count,survey_count,restriction_count,remark_count,address
0911587,ENERGY TRANSFER FUEL,ENERGY TRANSFER COMPANY,252017,001,Anderson,06,11/05/2025,11/04/2025,,,,9A,,6100,01,Drill,N,N,N,,,"LEWIS, A M",481,31.8884969,-95.9133597,31.8884969,-95.9133597,1,07550700,1,0,1,4,00 MAIN STREET
0911509,KTM 4795OP,OCCIDENTAL PERMIAN LTD.,617544,003,Andrews,10,11/06/2025,10/30/2025,,,,3H,,12000,01,Drill,Y,N,N,7      4,1 T2N,G&MMB&A,268,32.1796576,-102.4089551,32.1590991,-102.3978843,1,61130001,0,1,2,16,
0911633,LECHWE UNIT,"PILLAR EFS, LLC",665543,013,Atascosa,01,11/07/2025,11/05/2025,,,,2H,,9500,01,Drill,Y,N,N,,,"DE LA GARZA, J",318,28.9097706,-98.2643928,28.8950594,-98.2508124,1,27135700,0,1,2,16,
0911634,LECHWE UNIT,"PILLAR EFS, LLC",665543,013,Atascosa,01,11/07/2025,11/05/2025,,,,3H,,9500,01,Drill,Y,N,N,,,"DE LA GARZA, J",318,28.9098149,-98.2643329,28.8950944,-98.2479806,1,27135700,0,1,2,16,
0910336,BUCHANAN 68-54 A UNIT,"HIGHPEAK ENERGY HOLDINGS, LLC",385826,033,Borden,11,09/23/2025,09/28/2025,11/03/2025,,,A  3H,,7500,01,Drill,Y,N,N,2      2,5,"H&TC RR CO / AINSWORTH, J M",1044,32.600771,-101.2404745,32.5631742,-101.2326151,1,85280300,1,1,1,16,
0910337,BUCHANAN 68-54 B UNIT,"HIGHPEAK ENERGY HOLDINGS, LLC",385826,033,Borden,11,09/12/2025,09/28/2025,11/03/2025,,,A  5H,,7500,01,Drill,Y,N,N,2      2,5,"H&TC RR CO / AINSWORTH, J M",1044,32.6007687,-101.2403934,32.563107,-101.2299126,1,85280300,1,1,1,16,
0910335,BUCHANAN 68-54 B UNIT,"HIGHPEAK ENERGY HOLDINGS, LLC",385826,033,Borden,11,09/23/2025,09/28/2025,11/03/2025,,,L  5H,,7500,01,Drill,Y,N,N,2      2,5,"H&TC RR CO / AINSWORTH, J M",1044,32.6007663,-101.2403122,32.5631425,-101.2313403,1,85280300,1,1,1,16,
0910270,UL SALT CREEK 22501 A 30-19-18,"BTA OIL PRODUCERS, LLC",041867,103,Crane,10,09/15/2025,11/06/2025,11/07/2025,,10/29/2025,07H,,10050,01,Drill,Y,N,N,0      3,0,UL,,31.4784672,-102.4019027,31.5137638,-102.4094894,1,69996200,1,1,2,16,
0910298,UL SALT CREEK 22501 B 30-19-18,"BTA OIL PRODUCERS, LLC",041867,103,Crane,10,09/10/2025,11/06/2025,11/07/2025,,10/30/2025,08H,,10050,01,Drill,Y,N,N,0      3,0,UL,,31.4784451,-102.4019956,31.5127835,-102.4135827,1,69996200,1,1,2,16,
0911530,SHANNON ESTATE,"ASPEN OPERATING COMPANY, L.L.C.",035430,105,Crockett,09,11/04/2025,11/03/2025,,,,44,,3000,07,Re-enter,N,N,N,,,ARCHER CSL,1872,30.8549363,-101.72469,30.8549363,-101.72469,1,67284001,0,0,3,4,
